_id,Date,Rain,Temp Max,Temp Min
21660,20-04-2010,0,39.61000061,28.20000076
21661,21-04-2010,0,38.95000076,28.04999924
21662,22-04-2010,0,38.91999817,28.10000038
21663,23-04-2010,0,37.33000183,28.30999947
21664,24-04-2010,0,37.31999969,27.48999977
21665,25-04-2010,0,38.27999878,26.92000008
21666,26-04-2010,0,37.13000107,27.04000092
21667,27-04-2010,12.76677513,34.58000183,25.85000038
21668,28-04-2010,0,35.72000122,26.11000061
21669,29-04-2010,6.603245735,33.90999985,24.20000076
21670,30-04-2010,0,34.24000168,26.60000038
21671,01-05-2010,21.26860428,35.13999939,25.88999939
21672,02-05-2010,0,34.20999908,27.57999992
21673,03-05-2010,5.669631481,35.34999847,25.47999954
21674,04-05-2010,2.474413395,34.24000168,25.20999908
21675,05-05-2010,0.508455992,34.18000031,25.45000076
21676,06-05-2010,3.197476864,30.43000031,23.20000076
21677,07-05-2010,13.47553444,33.11000061,25.13999939
21678,08-05-2010,26.34555054,36.31999969,22.92000008
21679,09-05-2010,0,36.58000183,27.10000038
21680,10-05-2010,2.231627703,37.04000092,26.87000084
21681,11-05-2010,0,37.40000153,28.59000015
21682,12-05-2010,0,37.88000107,29.06999969
21683,13-05-2010,0,37.56999969,28.67000008
21684,14-05-2010,0,37.29000092,28.34000015
21685,15-05-2010,14.00451374,36.54999924,24.53000069
21686,16-05-2010,0,37.43999863,27.44000053
21687,17-05-2010,0,35.47999954,27.93000031
21688,18-05-2010,0,34.81999969,27.36000061
21689,19-05-2010,0,34.59000015,28.5
21690,20-05-2010,0,34.11999893,28.85000038
21691,21-05-2010,0.121551901,29.20000076,26.35000038
21692,22-05-2010,8.462554932,31.69000053,25.59000015
21693,23-05-2010,38.48788071,31.65999985,25.5
21694,24-05-2010,0,32.27999878,25.93000031
21695,25-05-2010,3.118984938,35.15999985,25.84000015
21696,26-05-2010,0,35.77999878,26.62000084
21697,27-05-2010,16.00114822,33.15999985,24.28000069
21698,28-05-2010,0,32.22999954,26.29000092
21699,29-05-2010,0.604932606,34.02999878,27.20999908
21700,30-05-2010,1.463082671,35.00999832,26.14999962
21701,31-05-2010,0,34.79999924,26.40999985
21702,01-06-2010,7.329725266,35.29000092,28.30999947
21703,02-06-2010,8.774129868,36.22000122,28.42000008
21704,03-06-2010,0,36.00999832,29.04999924
21705,04-06-2010,0,36.16999817,28.82999992
21706,05-06-2010,0.584354222,36.75999832,27.52000046
21707,06-06-2010,0,37.25,28.51000023
21708,07-06-2010,12.41833115,36.90000153,28.06999969
21709,08-06-2010,0,36.93999863,28.45999908
21710,09-06-2010,25.27402496,36.63999939,27.39999962
21711,10-06-2010,0,35.90999985,26.29999924
21712,11-06-2010,0,35.61000061,27.95999908
21713,12-06-2010,0,33.75999832,27.43000031
21714,13-06-2010,7.383111477,31.67000008,26.47999954
21715,14-06-2010,12.23612022,32.52000046,26.71999931
21716,15-06-2010,0,35.33000183,27.43000031
21717,16-06-2010,1.463427544,37.25999832,28.20000076
21718,17-06-2010,1.211655021,33.86000061,27.13999939
21719,18-06-2010,0.175527796,33.88000107,26.39999962
21720,19-06-2010,10.62126732,33.84000015,27.13999939
21721,20-06-2010,0.236036703,34.00999832,26.45999908
21722,21-06-2010,0,34.52999878,27.02000046
21723,22-06-2010,2.382926702,36.20000076,27.84000015
21724,23-06-2010,2.810997248,33.31000137,26.37000084
21725,24-06-2010,30.97284126,32.27000046,26.61000061
21726,25-06-2010,2.977458715,31.73999977,26.45999908
21727,26-06-2010,10.48265648,30.5,26.35000038
21728,27-06-2010,15.92818546,31.76000023,27.04000092
21729,28-06-2010,38.93302536,34.47000122,27.47999954
21730,29-06-2010,69.1300354,35.02000046,27.5
21731,30-06-2010,13.44913197,35.47000122,26.02000046
21732,01-07-2010,1.539835691,35.43000031,27.12000084
21733,02-07-2010,11.05825043,33.77000046,26.82999992
21734,03-07-2010,8.701119423,32.86999893,26.64999962
21735,04-07-2010,18.15506935,33.72000122,26.48999977
21736,05-07-2010,0.278097659,34.34999847,26.64999962
21737,06-07-2010,10.7142992,31.92000008,26.43000031
21738,07-07-2010,14.50825405,32.54000092,26.32999992
21739,08-07-2010,0,34.34999847,26.95999908
21740,09-07-2010,0,34.43000031,27.04999924
21741,10-07-2010,0,35.38000107,27.82999992
21742,11-07-2010,9.121077538,33.04000092,27.30999947
21743,12-07-2010,27.89053345,33.97000122,26.03000069
21744,13-07-2010,0.454555213,32.24000168,26.71999931
21745,14-07-2010,5.056386948,33.31999969,26.75
21746,15-07-2010,0.486026824,33.18999863,27.11000061
21747,16-07-2010,2.300833941,35.36999893,27.31999969
21748,17-07-2010,8.417591095,34.84999847,27.39999962
21749,18-07-2010,1.622236252,34.27000046,27.5
21750,19-07-2010,0,34.59000015,27.27000046
21751,20-07-2010,0,34.04000092,27.13999939
21752,21-07-2010,1.755277872,33.34999847,27.52000046
21753,22-07-2010,2.077122927,33.50999832,26.45999908
21754,23-07-2010,0.438819468,32.97999954,26.89999962
21755,24-07-2010,2.051980734,33.41999817,26.79000092
21756,25-07-2010,8.07101059,30.80999947,26.54999924
21757,26-07-2010,15.51555538,31.10000038,25.92000008
